material,d_mag,l_mag,circuit,t_steel,r_clear,gap,n_faces,a_module,wire_d,v_cap,c_cap,fidelity,J_attract,margin_attract,F_attract,J_repel,margin_repel,F_repel,asymmetry,margin,m_module,hold_ratio,pivot_ratio,mmf,mmf_need,switch_margin,e_switch,feasible,scalar,violations
LNG13,0.00475,0.0125,potcore,0.001,0.001,0.0001,6,0.04,0.0003,70.0,1e-05,screen,0.6734245504714181,0.07735868833811721,3.7076440012688994,0.5582228847653435,0.353241656593937,0.3077068940618422,12.049271799947862,0.353241656593937,0.04841901346697697,7.805722069549253,8.453538983230546,4759.802844227083,1912.5,2.48878580090305,0.14700000000000002,True,0.06241573786581275,
LNG37,0.00475,0.0125,none,0.001,0.001,0.0001,6,0.04,0.0003,70.0,1e-05,screen,nan,nan,0.0,nan,nan,0.0,inf,nan,0.031208558968756066,0.0,0.0,4759.802844227083,1837.5,2.5903688948174604,0.14700000000000002,False,0.0,open-circuit demag margin 0.96 > 0.8 [prescreen]
LNG37,0.00475,0.0125,potcore,0.001,0.001,0.0001,6,0.04,0.0003,70.0,1e-05,screen,1.1978684010238827,0.14737797279796466,12.217991661375697,0.9685583204583854,0.5684472116373317,0.7179081698900726,17.018878143212298,0.5684472116373317,0.04841901346697697,25.722600962802694,27.234016741583726,4759.802844227083,1837.5,2.5903688948174604,0.14700000000000002,True,0.1587516727331074,
